Comment,Designator,Footprint,LCSC Part #
10uF 50V,C1,0805,C440198
10uF 10V+,"C2,C4,C5",0603,C19702
1uF,C3,0603,C15849
100nF,"C6,C7",0402,C1525
1uF,C8,0402,C52923
B5819W SL,"D1,D2",SOD-123,C8598
SMAJ5.0A,D3,SMA,C113952
S3B-PH-K-S(LF)(SN),J1,JST-PH-3,C157929
S7B-ZR-SM4A-TF(LF)(SN),J2,ZH-7-SIDE,C5118704
TYPE-C-31-M-12 USB-C,J3,USB-C-16P,C165948
N-MOSFET 60V logic-level,"Q1,Q2",SOT-23,C347492
AO3401A,Q3,SOT-23,C15127
100R,"R1,R2",0402,C25076
100k,"R3,R4,R9",0402,C25741
200R,R5,0402,C25087
10k,R6,0402,C60489
5.1k,"R7,R8",0402,C25905
Tact switch EVQPUJ/EVQPUA,"SW1,SW2",SMD-4.7x3.5,C128539
ESP32-H2-MINI-1-N4,U1,ESP32-H2-MINI-1,C18203134
ME6211C33M5G-N,U2,SOT-23-5,C82942
SN74AHCT1G125DBVR,U3,SOT-23-5,C7484
USBLC6-2SC6,U4,SOT-23-6,C7519
