Designator,Mid X,Mid Y,Layer,Rotation
C1,171.0074mm,-101.9500mm,Top,90.000000
C2,150.6324mm,-85.6750mm,Top,-90.000000
C3,151.8074mm,-88.9000mm,Top,180.000000
C4,169.1074mm,-93.9375mm,Top,0.000000
C5,134.6074mm,-97.9250mm,Top,90.000000
C6,133.0074mm,-98.1000mm,Top,90.000000
C7,169.0074mm,-84.8200mm,Top,-90.000000
C8,139.8074mm,-97.3000mm,Top,90.000000
D1,164.5574mm,-87.9000mm,Top,0.000000
D2,159.1574mm,-86.3000mm,Top,0.000000
D3,139.2074mm,-100.1500mm,Top,0.000000
J1,141.4574mm,-104.7000mm,Top,-90.000000
J2,177.1074mm,-100.1000mm,Top,90.000000
J3,159.5374mm,-107.0500mm,Top,0.000000
Q1,154.9574mm,-93.7625mm,Top,90.000000
Q2,159.8074mm,-89.6375mm,Top,90.000000
Q3,169.1074mm,-90.4375mm,Top,90.000000
R1,151.5174mm,-94.7000mm,Top,0.000000
R2,156.8074mm,-90.7000mm,Top,0.000000
R3,154.4074mm,-96.9000mm,Top,0.000000
R4,166.1074mm,-93.4375mm,Top,0.000000
R5,161.1074mm,-93.4375mm,Top,0.000000
R6,138.0074mm,-97.3000mm,Top,90.000000
R7,155.8074mm,-100.3000mm,Top,90.000000
R8,163.0074mm,-100.2100mm,Top,90.000000
R9,168.6074mm,-87.1000mm,Top,0.000000
SW1,148.7324mm,-101.4000mm,Top,0.000000
SW2,148.7324mm,-107.4000mm,Top,0.000000
U1,137.4074mm,-89.4000mm,Top,90.000000
U2,154.3574mm,-85.5375mm,Top,90.000000
U3,172.4574mm,-86.5625mm,Top,90.000000
U4,159.4699mm,-98.8500mm,Top,0.000000
